link,sentence
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183622_4345633573-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Good. Ok. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. To qualify you for the plan are you between the age of forty and eighty. 
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183644_4402568929-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Terrible. Ok. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. To qualify you for the plan are you between the age of forty and eighty. 
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183648_9378383212-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Live in. Ok. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. No. To qualify you for the plan are you between the age of forty and eighty. 
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183654_2543004914-all.mp3,Hello. Hello. Yes. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Doing alright. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No ma'am thank you. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. To qualify you for the plan are you between the age of forty and eighty. Can you hear me.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183730_2524387232-all.mp3,Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. I'm doing good. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. Well I know more about it. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. Oh I talk to someone about that. I talk to someone about that. To qualify you for the plan are you between the age of forty and eighty. Cost me more money. Say that again please. 
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183740_2152320113-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Hi how are you. Ok this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. To qualify you for the plan are you between the age of forty and eighty.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183746_8287580485-all.mp3,Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Alright how are you doing. Ok this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. Huh not really. To qualify you for the plan are you between the age of forty and eighty. Han. Can you hear me. Yeah.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183749_4198936604-all.mp3,Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Can you hear me. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. To qualify you for the plan are you between the age of forty and eighty. Can you hear me.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183802_3346711246-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. I'm doing better how are you. Ok. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. Ma'am I have plenty I have a range. To qualify you for the plan are you between the age of forty and eighty. Ma'am. I can bring my product specialist on the line and he can give you more information about it ok.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183803_8136819796-all.mp3,Hello. Hi. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Hello baby. Hello. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. To qualify you for the plan are you between the age of forty and eighty. 
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183806_8043494745-all.mp3,Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. I'm good. Ok this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. Hm Hm. Can you hear me. Yep I would love to learn more. To qualify you for the plan are you between the age of forty and eighty. Hm Hm. Yep. I can bring my product specialist on the line and he can give you more information about it ok. Ok. 
