,beam,class,cleaned_text,class_labels
2,it no we already have all left to take care of just in case but thank you anyway i completely understand that but,0,it no we already have all left to take care of just in case but thank you anyway i completely understand that but,X
11,it sir,0,it sir,X
13,it a what,0,it a what,X
16,i don t need any more some gathered on a new state regulated final expense insurance plan which covers one night of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security would you like to learn more about it,0,i don t need any more some gathered on a new state regulated final expense insurance plan which covers one night of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security would you like to learn more about it,X
20,it he he i,0,it he he i,X
23,it no i already have it thank you i completely under,0,it no i already have it thank you i completely under,X
27,are got a letter,0,are got a letter,X
30,it yes some of it,0,it yes some of it,X
39,it i m already kick that ma am thank you,0,it i m already kick that ma am thank you,X
42,no i don t think so i think we re covered i completely understand that but these new form plans adjustment like you,0,no i don t think so i think we re covered i completely understand that but these new form plans adjustment like you,X
56,tense,0,tense,X
60,get to already better and one half,0,get to already better and one half,X
61,it i am soon to qualify you for the plan,0,it i am soon to qualify you for the plan,X
63,i already have shot i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information,0,i already have shot i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information,X
64,dar no need to talk to you i went through this one day hollers at regulated final expense insurance plan which covers a hundred percent of your burial real funeral or cremation expenses it is bred in england erie or social sir don t need em i d like to learn more about it would you please let me make my my own case to get my own insure thank you,0,dar no need to talk to you i went through this one day hollers at regulated final expense insurance plan which covers a hundred percent of your burial real funeral or cremation expenses it is bred in england erie or social sir don t need em i d like to learn more about it would you please let me make my my own case to get my own insure thank you,X
65,it i don t think so i ve already made my plans i m already beset i,0,it i don t think so i ve already made my plans i m already beset i,X
106,it no i ve already got that took care of can t afford any,0,it no i ve already got that took care of can t afford any,X
127,it i already have life insurance i,0,it i already have life insurance i,X
131,i m not indeed and the best is to collect,0,i m not indeed and the best is to collect,X
142,i think so,0,i think so,X
158,it i ve i ve already got that taken care of thank you,0,it i ve i ve already got that taken care of thank you,X
159,it no i have quite a bit insane i m already come for that anyway thank you i completely understand that but these new and fordable plans have just been approved in your state and everyone qualified,0,it no i have quite a bit insane i m already come for that anyway thank you i completely understand that but these new and fordable plans have just been approved in your state and everyone qualified,X
166,it i ve already got it and it s already paid to complete the whole complete test,0,it i ve already got it and it s already paid to complete the whole complete test,X
170,it no hun i ve got it i ll pay for nothing thank you i,0,it no hun i ve got it i ll pay for nothing thank you i,X
175,sure,0,sure,X
181,it though i have life insurance already,0,it though i have life insurance already,X
185,please you will please tell me about it,0,please you will please tell me about it,X
193,yes can you hear me yes,0,yes can you hear me yes,X
197,yes i am,0,yes i am,X
199,it no not now i already have i can fitly understand that but these new fordable plans have dressed and approved proved in your state and everyone qualified so our product specialists can give you more information right now if you like the prices you can go on otherwise no obligation on your part o what what is it they do it though,0,it no not now i already have i can fitly understand that but these new fordable plans have dressed and approved proved in your state and everyone qualified so our product specialists can give you more information right now if you like the prices you can go on otherwise no obligation on your part o what what is it they do it though,X
205,it no i have burial,0,it no i have burial,X
217,more about it a word,0,more about it a word,X
222,it no i got all that insurance anyway thanks for anyway i can,0,it no i got all that insurance anyway thanks for anyway i can,X
223,it well am i,0,it well am i,X
226,it actually at my final expenses and everything s already been taken care of thank you i,0,it actually at my final expenses and everything s already been taken care of thank you i,X
227,it i would like to help somebody,0,it i would like to help somebody,X
239,it now she would cause she s got her own i completely understand that even now,0,it now she would cause she s got her own i completely understand that even now,X
241,it no i ve already got my funeral fixed i completely understand that but thee,0,it no i ve already got my funeral fixed i completely understand that but thee,X
244,i have always been,0,i have always been,X
246,it no i m not interested i m goin i ve got life insurance i cannot be any more thank you,0,it no i m not interested i m goin i ve got life insurance i cannot be any more thank you,X
249,it yes sir,0,it yes sir,X
260,oh yes but why,0,oh yes but why,X
267,it no thank you mine s already paid for thanks very much i completely understand that but these new,0,it no thank you mine s already paid for thanks very much i completely understand that but these new,X
270,it no i wouldn t i am fully insured i appreciate your time please have a good day i completely understand that now afford,0,it no i wouldn t i am fully insured i appreciate your time please have a good day i completely understand that now afford,X
293,it no i have one already out thank you very much i completely understand that but these new a fordable place,0,it no i have one already out thank you very much i completely understand that but these new a fordable place,X
316,i know him he really wouldn t i ve got me beryl paid for and i don t really don t need more intense i completely understand that but these new fordable plans have just been approved,0,i know him he really wouldn t i ve got me beryl paid for and i don t really don t need more intense i completely understand that but these new fordable plans have just been approved,X
