,beam,class,cleaned_text,class_labels
66,now as a spaniard,1,now as a spaniard,already_insured
74,it no end of his money i,1,it no end of his money i,already_insured
183,no about it no ingliss this call is about a new state regulated final expense insurance plan which covers a hundred out of your reformation again is it i do said he would you like to learn more about it,1,no about it no ingliss this call is about a new state regulated final expense insurance plan which covers a hundred out of your reformation again is it i do said he would you like to learn more about it,already_insured
213,mindless,1,mindless,already_insured
220,i like that this call,1,i like that this call,already_insured
347,nobleness eleven,1,nobleness eleven,already_insured
496,the poor,1,the poor,already_insured
516,it you know i don t understand english very well ma am and you call me next day so so my daughter could talk to you we give gray now and not at home i went to my i,1,it you know i don t understand english very well ma am and you call me next day so so my daughter could talk to you we give gray now and not at home i went to my i,already_insured
550,i dine late serang this,1,i dine late serang this,already_insured
598,frank this,1,frank this,already_insured
604,it i don t know the english i,1,it i don t know the english i,already_insured
608,it i m from mimic english,1,it i m from mimic english,already_insured
832,you hear some other fun,1,you hear some other fun,already_insured
929,come,1,come,already_insured
973,more about it a year for spanish pete,1,more about it a year for spanish pete,already_insured
1007,you would only do you cling to the dance and finally a you note any covert a hundred percent of your burial no no no no no no no teresa it is specifically designed for the people,1,you would only do you cling to the dance and finally a you note any covert a hundred percent of your burial no no no no no no no teresa it is specifically designed for the people,already_insured
1018,morton i,1,morton i,already_insured
1019,then you can t be up for that my lady,1,then you can t be up for that my lady,already_insured
1074,i don t know as i know i like it it is called,1,i don t know as i know i like it it is called,already_insured
1083,merton,1,merton,already_insured
1125,it mine mine and then the english,1,it mine mine and then the english,already_insured
1148,the lucky go fool,1,the lucky go fool,already_insured
1171,alison great this,1,alison great this,already_insured
1287,and get a come along as a mole,1,and get a come along as a mole,already_insured
1353,albano this,1,albano this,already_insured
1460,english story this,1,english story this,already_insured
1494,case,1,case,already_insured
1523,table no no no a blameless,1,table no no no a blameless,already_insured
1564,good again but,1,good again but,already_insured
1684,it he is,1,it he is,already_insured
1705,very good,1,very good,already_insured
1785,spaniards not english,1,spaniards not english,already_insured
1892,i know somebody who is punished,1,i know somebody who is punished,already_insured
1902,albano this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral,1,albano this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral,already_insured
1962,it,1,it,already_insured
2090,no no we are in life,1,no no we are in life,already_insured
2181,rena,1,rena,already_insured
2238,it now in the court let be many understand ma am i go my doctor i have a man to my doctor say are not in,1,it now in the court let be many understand ma am i go my doctor i have a man to my doctor say are not in,already_insured
2412,it are you sick pain,1,it are you sick pain,already_insured
2489,er may i no speak english i m little understand i m on bosnia i m so sorry you are translated barnes,1,er may i no speak english i m little understand i m on bosnia i m so sorry you are translated barnes,already_insured
2647,more about it it s done,1,more about it it s done,already_insured
2666,surely no interest in,1,surely no interest in,already_insured
2785,not aggravate nara in grave some safe despise lassen qui quando da fina iago o side sea selection la subsides intrigue brime symbol of the number,1,not aggravate nara in grave some safe despise lassen qui quando da fina iago o side sea selection la subsides intrigue brime symbol of the number,already_insured
2814,one thought in ingles,1,one thought in ingles,already_insured
2837,on thinking it,1,on thinking it,already_insured
2844,it to begin with handsome place,1,it to begin with handsome place,already_insured
2854,it come come,1,it come come,already_insured
3030,it anteros begins i,1,it anteros begins i,already_insured
3097,the murder this call is about a new state regulators final exit and covers a hundred percent of your burial funeral,1,the murder this call is about a new state regulators final exit and covers a hundred percent of your burial funeral,already_insured
3101,as big as ponies,1,as big as ponies,already_insured
3109,the gate great,1,the gate great,already_insured
3153,mine madame maldito reba this,1,mine madame maldito reba this,already_insured
3169,picpon this,1,picpon this,already_insured
3171,but but this,1,but but this,already_insured
3214,wife this,1,wife this,already_insured
3239,it sorry i don t understand it,1,it sorry i don t understand it,already_insured
3292,and then i called on you mamie,1,and then i called on you mamie,already_insured
3410,well did but i got somebody else when i m talking to him stick that s you,1,well did but i got somebody else when i m talking to him stick that s you,already_insured
3436,a man in english,1,a man in english,already_insured
3543,i speak spanish,1,i speak spanish,already_insured
3791,strange moscon parties this combat amen state regulated final expense insurance plan which covers a hundred percent,1,strange moscon parties this combat amen state regulated final expense insurance plan which covers a hundred percent,already_insured
3844,english said dimple then is fine,1,english said dimple then is fine,already_insured
3866,captain anybody speak to them,1,captain anybody speak to them,already_insured
3997,it now you know i do not think i am,1,it now you know i do not think i am,already_insured
4023,the want this,1,the want this,already_insured
4045,a letter for you,1,a letter for you,already_insured
4083,will you be a new fact,1,will you be a new fact,already_insured
4101,it amine face,1,it amine face,already_insured
4198,the statutes veto consume sache prime luna paris cutters menace prime dos barbara gravamen nuevo prim primal dress para continue gravani don de sect or primal quatro great this call is about a new state regulated final expense and empty and will govern them hundred percent in auriol funeral at his cutter missionaries but i will barbara i ravage neo o primates para continue raban dendon secede or primal quatro this call is about a new state regulated final expense insurance to cover the hundred women of your failure or canton donation made paramore i ravage nuevo primal pres par continua gravani don de sect or primal quatro o great this call is about a new state regulated final expense and she went over some hundred percent of your burial funeral saturday made it so o master adios,1,the statutes veto consume sache prime luna paris cutters menace prime dos barbara gravamen nuevo prim primal dress para continue gravani don de sect or primal quatro great this call is about a new state regulated final expense and empty and will govern them hundred percent in auriol funeral at his cutter missionaries but i will barbara i ravage neo o primates para continue raban dendon secede or primal quatro this call is about a new state regulated final expense insurance to cover the hundred women of your failure or canton donation made paramore i ravage nuevo primal pres par continua gravani don de sect or primal quatro o great this call is about a new state regulated final expense and she went over some hundred percent of your burial funeral saturday made it so o master adios,already_insured
4228,have ye yet,1,have ye yet,already_insured
4384,now let the spaniard the,1,now let the spaniard the,already_insured
4530,have you another cap this calling upon a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the peo for the people on fixed income or social security would you like to learn more about it not that it i completely understand that but these new fordable plans have just been applauding estate i thought,1,have you another cap this calling upon a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the peo for the people on fixed income or social security would you like to learn more about it not that it i completely understand that but these new fordable plans have just been applauding estate i thought,already_insured
4652,octavia carretera this,1,octavia carretera this,already_insured
4694,now kitty live with missus noggy back aright by this hall is about a new state regulated final extent insurance plan england which covers a hundred percent of your burial you funeral permission and more specifically designed for the people on fixed income or social security would you like to you like to learn more about it if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue recording recording where you left off at four,1,now kitty live with missus noggy back aright by this hall is about a new state regulated final extent insurance plan england which covers a hundred percent of your burial you funeral permission and more specifically designed for the people on fixed income or social security would you like to you like to learn more about it if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue recording recording where you left off at four,already_insured
4723,be more,1,be more,already_insured
4821,it i do like you may want other can you be tiny i,1,it i do like you may want other can you be tiny i,already_insured
4900,he read on this,1,he read on this,already_insured
4999,it maybe you have a panic please,1,it maybe you have a panic please,already_insured
5002,it are you a sponge,1,it are you a sponge,already_insured
5021,i love english,1,i love english,already_insured
5135,it an i want people to speak spanish me now begins,1,it an i want people to speak spanish me now begins,already_insured
5197,it s better for venus spoke,1,it s better for venus spoke,already_insured
5247,macadam fiendish i,1,macadam fiendish i,already_insured
5273,i mean that i m not speaking,1,i mean that i m not speaking,already_insured
5346,it nothing said sosia,1,it nothing said sosia,already_insured
