,beam,class,cleaned_text,class_labels
3,will you come and tell me then has it,2,will you come and tell me then has it,answering_machine
24,very big,2,very big,answering_machine
41,later right now i understand but it s not going to take much time i have a product specialist on the line who can,2,later right now i understand but it s not going to take much time i have a product specialist on the line who can,answering_machine
54,hold on honey i mean the men in a bunch of people and i can t hear what you say faces me i had to go out of here say hold on a complete hold on me i mean the reunion kay what you say,2,hold on honey i mean the men in a bunch of people and i can t hear what you say faces me i had to go out of here say hold on a complete hold on me i mean the reunion kay what you say,answering_machine
102,for you baby i read out to you at it this call is about a new state regulated final exam,2,for you baby i read out to you at it this call is about a new state regulated final exam,answering_machine
125,now little really what you need this,2,now little really what you need this,answering_machine
152,pope hello you here this call is about to state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security would you like to learn more about it no i,2,pope hello you here this call is about to state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security would you like to learn more about it no i,answering_machine
164,i m kind o busy right now ma am,2,i m kind o busy right now ma am,answering_machine
167,it not right now thank you i can,2,it not right now thank you i can,answering_machine
177,no not at the moment i,2,no not at the moment i,answering_machine
186,at what i,2,at what i,answering_machine
224,i m quite busy thank,2,i m quite busy thank,answering_machine
225,it but right now i m in the middle of a batch of rice crispy bars and they might burn,2,it but right now i m in the middle of a batch of rice crispy bars and they might burn,answering_machine
237,it no not ttodayi,2,it no not ttodayi,answering_machine
257,it beyond that remember you ve got to meet,2,it beyond that remember you ve got to meet,answering_machine
258,i ll tan gave,2,i ll tan gave,answering_machine
266,it and it s not right now thank you then,2,it and it s not right now thank you then,answering_machine
286,well not ttodaycalmly but i,2,well not ttodaycalmly but i,answering_machine
339,ah i may work right now some would like to call in the eating that would be great,2,ah i may work right now some would like to call in the eating that would be great,answering_machine
343,i can t talk to him bess,2,i can t talk to him bess,answering_machine
350,it no not at this time i completely understand that but these new cartel plans have just been approved,2,it no not at this time i completely understand that but these new cartel plans have just been approved,answering_machine
364,i m going to but i m busy right at this moment i won t be able to listen to you you,2,i m going to but i m busy right at this moment i won t be able to listen to you you,answering_machine
428,not at this time i,2,not at this time i,answering_machine
468,it not right now apron i,2,it not right now apron i,answering_machine
476,and sorry that so that are now in the form,2,and sorry that so that are now in the form,answering_machine
584,i had not time to go but now i like to be but i bear you right now to,2,i had not time to go but now i like to be but i bear you right now to,answering_machine
621,i m really busy right now can you call,2,i m really busy right now can you call,answering_machine
635,no i,2,no i,answering_machine
644,i am by,2,i am by,answering_machine
653,it my mother i,2,it my mother i,answering_machine
665,i m real busy this,2,i m real busy this,answering_machine
671,certain call from the doctor i m doing grinding scraping of my,2,certain call from the doctor i m doing grinding scraping of my,answering_machine
683,it ah well i don t have time now could you come back later,2,it ah well i don t have time now could you come back later,answering_machine
710,it no no enough i,2,it no no enough i,answering_machine
742,it no thank you i m busy right now so thank you for calling by by,2,it no thank you i m busy right now so thank you for calling by by,answering_machine
754,but i m on my way out to do i have a doctor s appointment,2,but i m on my way out to do i have a doctor s appointment,answering_machine
850,it no not right now thank you i completely understand that but we knew a fordable plan,2,it no not right now thank you i completely understand that but we knew a fordable plan,answering_machine
868,it oh no right now i m just tied up but i have company so you d have to come back to morrow,2,it oh no right now i m just tied up but i have company so you d have to come back to morrow,answering_machine
873,well i m kind busy,2,well i m kind busy,answering_machine
876,it no not ttodayi simply,2,it no not ttodayi simply,answering_machine
904,i woke again to think great,2,i woke again to think great,answering_machine
906,okay what s even you bother me to look in again at tea what do you need this call is about a new state regulated final expense insurance plan which covers a hundred dollar no one no more i ve got it for any of it i ve got plenty of it baby you die my time would,2,okay what s even you bother me to look in again at tea what do you need this call is about a new state regulated final expense insurance plan which covers a hundred dollar no one no more i ve got it for any of it i ve got plenty of it baby you die my time would,answering_machine
913,i m all,2,i m all,answering_machine
935,i m working right,2,i m working right,answering_machine
937,time thank you would you like to learn more about it,2,time thank you would you like to learn more about it,answering_machine
984,it i can but not late now not a bit if i can get called that later i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our products,2,it i can but not late now not a bit if i can get called that later i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our products,answering_machine
1006,it no not right now thankee i don t help that,2,it no not right now thankee i don t help that,answering_machine
1014,it right now i m busy i m looking for an address i m on my way to see a doctor but i don t know where i m going so i can t talk to you right now thank you second it,2,it right now i m busy i m looking for an address i m on my way to see a doctor but i don t know where i m going so i can t talk to you right now thank you second it,answering_machine
