,beam,class,cleaned_text,class_labels
8,it do i see that pocket all,3,it do i see that pocket all,busy
62,i m older folk this,3,i m older folk this,busy
72,murmured from this corliss this,3,murmured from this corliss this,busy
81,note this,3,note this,busy
95,go ttodayi m having,3,go ttodayi m having,busy
96,can you take me off the list please,3,can you take me off the list please,busy
107,would not really have less not counting more because i ve got a treated and i ve got,3,would not really have less not counting more because i ve got a treated and i ve got,busy
108,this is a business man this,3,this is a business man this,busy
109,not a bit,3,not a bit,busy
134,please put on your new call is this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses already have insured insurance no call would you like to learn more about it no i like vienna all i can,3,please put on your new call is this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses already have insured insurance no call would you like to learn more about it no i like vienna all i can,busy
140,are you jealous that i m a prince and you re out again looking monkey are you jealous that i m a prince and that you re a fucking piece ship monkey that you re skimming as nigger ah then you re,3,are you jealous that i m a prince and you re out again looking monkey are you jealous that i m a prince and that you re a fucking piece ship monkey that you re skimming as nigger ah then you re,busy
145,pat this,3,pat this,busy
150,amy stop quoting you as men regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expense expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it,3,amy stop quoting you as men regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expense expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it,busy
163,terrible i keep getting calls for american,3,terrible i keep getting calls for american,busy
168,quit calling decent quick colony vice,3,quit calling decent quick colony vice,busy
228,not good don t be calling any more this call is about a new state regulated final expenses,3,not good don t be calling any more this call is about a new state regulated final expenses,busy
232,it you want to go out for lunch i will talk about it,3,it you want to go out for lunch i will talk about it,busy
252,it well i have more dan insurance than you can sell me now lady i don t need any more so take my name off the list i completely understand that but these new,3,it well i have more dan insurance than you can sell me now lady i don t need any more so take my name off the list i completely understand that but these new,busy
278,stop forging hang me stop calling me stop on,3,stop forging hang me stop calling me stop on,busy
280,i am eighty five and i m doing fine i have all the insurance i need good bye please take me off your list list great,3,i am eighty five and i m doing fine i have all the insurance i need good bye please take me off your list list great,busy
283,no good i really wish that calling me as the same person that keep calling me and with different numbers,3,no good i really wish that calling me as the same person that keep calling me and with different numbers,busy
294,never come what came of this gem on my farm i complete i said when i went out when you do make the noise came hello,3,never come what came of this gem on my farm i complete i said when i went out when you do make the noise came hello,busy
296,it now stop talking came,3,it now stop talking came,busy
315,fine thank you but i don t need anything like that so please don t subscribe my number from this list greg would then be to have had a member at regulated final expense insurance plan which covers a hundred per burial funeral or cremation expenses it is it is specifically designed for the people on fixed income or social security would you like to learn more about it no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our prodigal peter can get you to understand it i want to be be subscribed from this list and not called again,3,fine thank you but i don t need anything like that so please don t subscribe my number from this list greg would then be to have had a member at regulated final expense insurance plan which covers a hundred per burial funeral or cremation expenses it is it is specifically designed for the people on fixed income or social security would you like to learn more about it no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our prodigal peter can get you to understand it i want to be be subscribed from this list and not called again,busy
325,maybe you ve called me several times i m too old for you,3,maybe you ve called me several times i m too old for you,busy
327,it would you be able to take me take me off your call list please,3,it would you be able to take me take me off your call list please,busy
333,oh dear god quit calling,3,oh dear god quit calling,busy
353,it he ll know i,3,it he ll know i,busy
378,set me off your car with,3,set me off your car with,busy
380,good we do not need to talk about that we don t do business on the phone we don t qualify anyway so it s going to hand me here in a few days isn t,3,good we do not need to talk about that we don t do business on the phone we don t qualify anyway so it s going to hand me here in a few days isn t,busy
383,you you call,3,you you call,busy
384,i think i ve heard you before,3,i think i ve heard you before,busy
390,you ve called twice ttodayso aged apple can t i this,3,you ve called twice ttodayso aged apple can t i this,busy
395,it no i wouldn t and your own also a recorded line straight to the police department i am sick and tired of your calling and they,3,it no i wouldn t and your own also a recorded line straight to the police department i am sick and tired of your calling and they,busy
397,what the hell is that why you keep calling me i keep i keep telling you i m in my late eighties now and i won t have no count o money to try to spend for if you give me nothing i completely understood ha,3,what the hell is that why you keep calling me i keep i keep telling you i m in my late eighties now and i won t have no count o money to try to spend for if you give me nothing i completely understood ha,busy
407,grandma are faithful for i completely understand that but these new fordable plans have just been approved in your state and everyone as you for you,3,grandma are faithful for i completely understand that but these new fordable plans have just been approved in your state and everyone as you for you,busy
415,satan,3,satan,busy
442,is off,3,is off,busy
448,now what a ship i,3,now what a ship i,busy
450,the frigate book call it s a book call this call is about a new state regulated final expense insurance plan which covers a hundred men real food or cremation and good god is good o great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it destroys ok ooko ok kokve suit what i need to do what i did to do i didn t give you my credit card number,3,the frigate book call it s a book call this call is about a new state regulated final expense insurance plan which covers a hundred men real food or cremation and good god is good o great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it destroys ok ooko ok kokve suit what i need to do what i did to do i didn t give you my credit card number,busy
452,what i,3,what i,busy
463,it gee,3,it gee,busy
474,show me your pussy amy,3,show me your pussy amy,busy
477,it no i would not please stop calling me,3,it no i would not please stop calling me,busy
492,it no i got is called yesterday and i asked him not to call me again,3,it no i got is called yesterday and i asked him not to call me again,busy
502,it now you can take my name off the list take my name off your list now,3,it now you can take my name off the list take my name off your list now,busy
522,will you take me off to colline,3,will you take me off to colline,busy
529,you call this,3,you call this,busy
