,beam,class,cleaned_text,class_labels
90,it no i tell you i ve just now i am sixty five years old so i know uncle under a little i completely understand that but these new inheritable as have just been approved in your state would every out no no i don t have any poor that i don t need you know i don t i don t need it and i wouldn t qualify i couldn t get insurance,4,it no i tell you i ve just now i am sixty five years old so i know uncle under a little i completely understand that but these new inheritable as have just been approved in your state would every out no no i don t have any poor that i don t need you know i don t i don t need it and i wouldn t qualify i couldn t get insurance,dnc
190,i m fifty,4,i m fifty,dnc
215,i think i m too old i don t think,4,i think i m too old i don t think,dnc
240,it i m not eligible for that yet,4,it i m not eligible for that yet,dnc
314,i m only thirty six one,4,i m only thirty six one,dnc
642,it i know but i think i m told it told me eighty,4,it i know but i think i m told it told me eighty,dnc
773,it no ma am cousin,4,it no ma am cousin,dnc
776,i call her,4,i call her,dnc
856,i don t think i can because i m ninety eight years old and i don t think i qualify i,4,i don t think i can because i m ninety eight years old and i don t think i qualify i,dnc
899,it now run and not qualified being older,4,it now run and not qualified being older,dnc
946,i m duncan an i m sick six years old,4,i m duncan an i m sick six years old,dnc
977,not feeling old what can i do for you i,4,not feeling old what can i do for you i,dnc
1191,i think i m too old hello,4,i think i m too old hello,dnc
1196,i m not old enough,4,i m not old enough,dnc
1247,i m off senior citizen this call is of the regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security would you like to learn more about it no i ve got him sure to cover all that an thank you for calling it only but my wit more i come,4,i m off senior citizen this call is of the regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security would you like to learn more about it no i ve got him sure to cover all that an thank you for calling it only but my wit more i come,dnc
1256,it no not today i am you i wouldn t qualify for that i m not in that,4,it no not today i am you i wouldn t qualify for that i m not in that,dnc
1321,more about it what for ninety years old,4,more about it what for ninety years old,dnc
1509,no cause i ve always told me to advise i,4,no cause i ve always told me to advise i,dnc
1651,it you re not listening to me i m too old for it i ve told you many times to qualify you for the plan are you,4,it you re not listening to me i m too old for it i ve told you many times to qualify you for the plan are you,dnc
1730,it no i m too old thank you i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information right now if you like toknow no i don t qualify received these calls and they say when you re eighty six you don t qualify,4,it no i m too old thank you i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information right now if you like toknow no i don t qualify received these calls and they say when you re eighty six you don t qualify,dnc
1773,it i know i m too old for it i m almost eighty eight thank you to qualify you for the plan are you bet,4,it i know i m too old for it i m almost eighty eight thank you to qualify you for the plan are you bet,dnc
2062,no i don t to fit any of those criteria i,4,no i don t to fit any of those criteria i,dnc
2102,i m ninety one,4,i m ninety one,dnc
2266,i m too young,4,i m too young,dnc
2476,not enough,4,not enough,dnc
2490,olden i m not old enough,4,olden i m not old enough,dnc
2530,it i m eighty four years old i think he ll pick me right,4,it i m eighty four years old i think he ll pick me right,dnc
2994,it no we are fortified,4,it no we are fortified,dnc
3031,it i don t think i ll qualify how old do i dare,4,it i don t think i ll qualify how old do i dare,dnc
3043,i m ninety three years old that qualify,4,i m ninety three years old that qualify,dnc
3125,good heaven too old for what you re selling it at great,4,good heaven too old for what you re selling it at great,dnc
3372,i m not that old so you be wishing to have tell me about it,4,i m not that old so you be wishing to have tell me about it,dnc
3400,it there will be a tale so i made up my word,4,it there will be a tale so i made up my word,dnc
3451,how about ok because i am old you re not takin my thing give me pain me it is right so i find out what your name is i ll by,4,how about ok because i am old you re not takin my thing give me pain me it is right so i find out what your name is i ll by,dnc
3533,well ma am no because i ve been told that i do not qualify because of my age i do not qualify so you have bliss day i,4,well ma am no because i ve been told that i do not qualify because of my age i do not qualify so you have bliss day i,dnc
3603,it i don t call it,4,it i don t call it,dnc
3632,it i think i have learned that when i tell my has the other hanger for me i m ninety,4,it i think i have learned that when i tell my has the other hanger for me i m ninety,dnc
3749,it i am over young,4,it i am over young,dnc
3763,it no i know all about it you re not the only persons ever called me about it but i don t qualify anyway i have cancer i completely understand that but these are fordable plans,4,it no i know all about it you re not the only persons ever called me about it but i don t qualify anyway i have cancer i completely understand that but these are fordable plans,dnc
3914,it i don t think i d qualify i m eighty seven years old though i wouldn t want to hear better,4,it i don t think i d qualify i m eighty seven years old though i wouldn t want to hear better,dnc
4171,it i m too old to take that policy thank you to,4,it i m too old to take that policy thank you to,dnc
4367,it well i think i m over the age what age is the limit,4,it well i think i m over the age what age is the limit,dnc
4437,it i think i m too old,4,it i think i m too old,dnc
4558,i m not a senior citizen this,4,i m not a senior citizen this,dnc
4561,it no i wouldn t qualify because of my age i,4,it no i wouldn t qualify because of my age i,dnc
4696,it no cause i m too old,4,it no cause i m too old,dnc
4857,it i can tell for ye the cry made them at the eleven years ago,4,it i can tell for ye the cry made them at the eleven years ago,dnc
4880,it no ma am i ain t sick nothing so you good man nay some years old i completely understand that but these new,4,it no ma am i ain t sick nothing so you good man nay some years old i completely understand that but these new,dnc
4904,i m doing all right but if you re sellin the insurance i m sorry i m too old,4,i m doing all right but if you re sellin the insurance i m sorry i m too old,dnc
5221,no because i m not old enough to thank you i,4,no because i m not old enough to thank you i,dnc
5246,but i don t and the senor i didn t care i m not holdin up yet,4,but i don t and the senor i didn t care i m not holdin up yet,dnc
