,beam,class,cleaned_text,class_labels
1,cor horrid,5,cor horrid,dnq
9,i m well thank you great,5,i m well thank you great,dnq
17,well what s this about this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation it be policy see what you ll keep calling back about that for would you like to learn more about it no i completely understand that,5,well what s this about this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation it be policy see what you ll keep calling back about that for would you like to learn more about it no i completely understand that,dnq
21,good this will win on until the final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on it unfixed income or social security would you like to learn more about it not ttodayma am okay some other time,5,good this will win on until the final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on it unfixed income or social security would you like to learn more about it not ttodayma am okay some other time,dnq
26,that great this,5,that great this,dnq
28,no price great this,5,no price great this,dnq
29,pretty good great,5,pretty good great,dnq
31,fun grace,5,fun grace,dnq
35,balked this,5,balked this,dnq
36,am dooce this,5,am dooce this,dnq
37,anak this,5,anak this,dnq
40,adela this,5,adela this,dnq
45,in fine,5,in fine,dnq
51,i heard this,5,i heard this,dnq
53,moran,5,moran,dnq
57,five great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation cremation expenses it is beside the organ i m already fully colbert was that any more about it no thank,5,five great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation cremation expenses it is beside the organ i m already fully colbert was that any more about it no thank,dnq
59,alan,5,alan,dnq
73,make great,5,make great,dnq
76,motif great,5,motif great,dnq
78,ok a this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial and cremation do and say now that in me now would you like trying more hunter now we know that we,5,ok a this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial and cremation do and say now that in me now would you like trying more hunter now we know that we,dnq
79,hallo this,5,hallo this,dnq
85,good great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cotton needed at one though i ve got everything in would you like to learn more about it now i,5,good great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cotton needed at one though i ve got everything in would you like to learn more about it now i,dnq
87,i m glad you re frank what did you want great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses see it taken care of would you like to learn more about it,5,i m glad you re frank what did you want great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses see it taken care of would you like to learn more about it,dnq
91,fine great,5,fine great,dnq
