,beam,class,cleaned_text,class_labels
34,explain then back his ma this,6,explain then back his ma this,greetings
38,i find amy again how,6,i find amy again how,greetings
49,i m fain how are,6,i m fain how are,greetings
52,and i find in you great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is said we better even the two men bite would you like to learn more about it,6,and i find in you great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is said we better even the two men bite would you like to learn more about it,greetings
58,i don t know amy how you do ttodaythis call is about a new state regulated final expense insurance plan which covers a hundred percent of your buried funeral or animation expense amy stop we don t need it thank you i know there s just a recording but that s all right and i appreciate your day god bless you and your whole family and god love is great they call us about a new state regulated final expense insurance plan which covers a hundred,6,i don t know amy how you do ttodaythis call is about a new state regulated final expense insurance plan which covers a hundred percent of your buried funeral or animation expense amy stop we don t need it thank you i know there s just a recording but that s all right and i appreciate your day god bless you and your whole family and god love is great they call us about a new state regulated final expense insurance plan which covers a hundred,greetings
69,just fine ain t here but self great this,6,just fine ain t here but self great this,greetings
89,norah harry,6,norah harry,greetings
98,and you too,6,and you too,greetings
103,how re you,6,how re you,greetings
117,how are you i,6,how are you i,greetings
120,i m all right,6,i m all right,greetings
153,for you,6,for you,greetings
184,then how are,6,then how are,greetings
192,that s sure how are,6,that s sure how are,greetings
196,fine amy how are,6,fine amy how are,greetings
208,you are pretty good great,6,you are pretty good great,greetings
211,i m going to have you,6,i m going to have you,greetings
216,sate,6,sate,greetings
250,or you,6,or you,greetings
273,i wish you you then in the freight regulated final expense insurance and his burial funeral and the prentice and the prettiest number no cowardice would you like to learn about no how if they should complete,6,i wish you you then in the freight regulated final expense insurance and his burial funeral and the prentice and the prettiest number no cowardice would you like to learn about no how if they should complete,greetings
285,but you can,6,but you can,greetings
292,i ha this,6,i ha this,greetings
305,i m doing well for injustice this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is would you like to learn more about it he plainly,6,i m doing well for injustice this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is would you like to learn more about it he plainly,greetings
317,great fabulous how are you ttodayi m doing great in taking,6,great fabulous how are you ttodayi m doing great in taking,greetings
326,i m doin fine are you great,6,i m doin fine are you great,greetings
341,i m fine how you,6,i m fine how you,greetings
367,yon good anyhow,6,yon good anyhow,greetings
368,i m doing great what s up great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is it is specifically the line hullo hullo one second could you take me off you,6,i m doing great what s up great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is it is specifically the line hullo hullo one second could you take me off you,greetings
409,good how about you at california,6,good how about you at california,greetings
419,i m done just fine how,6,i m done just fine how,greetings
427,well not too good how are you,6,well not too good how are you,greetings
438,here to this,6,here to this,greetings
467,oh i m getting great how are you,6,oh i m getting great how are you,greetings
472,i finally woke up i,6,i finally woke up i,greetings
486,all right how are you this,6,all right how are you this,greetings
495,oh pretty good how about,6,oh pretty good how about,greetings
504,come on you great,6,come on you great,greetings
507,harding,6,harding,greetings
511,just fine are you great,6,just fine are you great,greetings
519,and i m great amy how you done great,6,and i m great amy how you done great,greetings
520,i did what about you i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialist you more infirm and wise,6,i did what about you i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialist you more infirm and wise,greetings
