,beam,class,cleaned_text,class_labels
101,ma am are you capable of putting a live person on the,7,ma am are you capable of putting a live person on the,negative
441,it are you about,7,it are you about,negative
481,amy you re compeer why little how,7,amy you re compeer why little how,negative
488,the girl person,7,the girl person,negative
645,a man with a robot color,7,a man with a robot color,negative
1183,i can ask you talking to a person,7,i can ask you talking to a person,negative
1300,arroba,7,arroba,negative
1519,i d like to talk to a regular person not a robot this call,7,i d like to talk to a regular person not a robot this call,negative
1614,amy the robot this,7,amy the robot this,negative
1650,are you a robot,7,are you a robot,negative
1748,you are on a recorded line better business burial in county,7,you are on a recorded line better business burial in county,negative
1797,are you a real person this,7,are you a real person this,negative
1815,are you a machine,7,are you a machine,negative
1908,it you must have been recording,7,it you must have been recording,negative
2108,are you capable enough to understand that this is a machine,7,are you capable enough to understand that this is a machine,negative
2231,amy are you real or are you a machine can you answer me was about a new state regulated final expense insurance plan amy are you came your man general in wisconsin i am hollow amy amy would you like to hear more about it amy can you talk to me without being interrupting me you re a machine with your one brown hand i can t tell,7,amy are you real or are you a machine can you answer me was about a new state regulated final expense insurance plan amy are you came your man general in wisconsin i am hollow amy amy would you like to hear more about it amy can you talk to me without being interrupting me you re a machine with your one brown hand i can t tell,negative
2251,it no and,7,it no and,negative
2275,you re recording and you ve caught me about three times how about not doing any more thanks,7,you re recording and you ve caught me about three times how about not doing any more thanks,negative
2361,ah i m takin to recording am i not,7,ah i m takin to recording am i not,negative
2579,i don t talk to her,7,i don t talk to her,negative
2628,i came with american senor care are you a robot,7,i came with american senor care are you a robot,negative
2740,use a recording,7,use a recording,negative
2821,are you a person this coloring imagine state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically pacifically designed for the people on fixed income or social security would you like to learn more about it no no thank you good bye i completely understand that,7,are you a person this coloring imagine state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically pacifically designed for the people on fixed income or social security would you like to learn more about it no no thank you good bye i completely understand that,negative
2839,you re not even a person this,7,you re not even a person this,negative
2930,amy or your robarts,7,amy or your robarts,negative
3002,you re a computer and i am fine great this,7,you re a computer and i am fine great this,negative
3261,amy are you real person,7,amy are you real person,negative
3667,well that is this it this call is about a new state regulated final expense and she cavallo hello you all hallo hallo expenses it is specifically designed for a hello am i hello hello hello would you like to learn more about it are you about,7,well that is this it this call is about a new state regulated final expense and she cavallo hello you all hallo hallo expenses it is specifically designed for a hello am i hello hello hello would you like to learn more about it are you about,negative
3935,anne are you real this,7,anne are you real this,negative
4055,it a robot,7,it a robot,negative
4170,tis a machine or a human,7,tis a machine or a human,negative
4202,i speak to a live person this call is about a new state regulated final insurance plan which covers a hundred for piano liner or some funeral or creed hanging up it is it is put would you like to learn more about it fog off,7,i speak to a live person this call is about a new state regulated final insurance plan which covers a hundred for piano liner or some funeral or creed hanging up it is it is put would you like to learn more about it fog off,negative
4290,so on,7,so on,negative
4448,you re a robot aren t you,7,you re a robot aren t you,negative
4554,you get me,7,you get me,negative
4605,it are you a real person,7,it are you a real person,negative
4677,are you out of life,7,are you out of life,negative
4714,it paco i m so exactly a voice but you likewise,7,it paco i m so exactly a voice but you likewise,negative
4930,i d like to speak to a real human place,7,i d like to speak to a real human place,negative
4964,is a recording,7,is a recording,negative
4990,don t speak to robots this college not regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is it is specifically designed for the people on a fixed income or social security would you like to learn more about it,7,don t speak to robots this college not regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is it is specifically designed for the people on a fixed income or social security would you like to learn more about it,negative
5344,good machine this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral oration and in yes wait a minute you don t answer my question would you like to learn more about it i want you to answer my question so completely understand that but these new and fordable plans have just been approved in your state and everyone qualified,7,good machine this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral oration and in yes wait a minute you don t answer my question would you like to learn more about it i want you to answer my question so completely understand that but these new and fordable plans have just been approved in your state and everyone qualified,negative
