,beam,class,cleaned_text,class_labels
4,what state am i,9,what state am i,other
6,goodness this,9,goodness this,other
7,note this,9,note this,other
10,it can you send me information in the mail i,9,it can you send me information in the mail i,other
14,am i talking to amy this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral oration expenses that is your final designed for the people on fixed income or social security would you like to learn more about it,9,am i talking to amy this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral oration expenses that is your final designed for the people on fixed income or social security would you like to learn more about it,other
22,by cibolo,9,by cibolo,other
43,then,9,then,other
50,who are you trying to reach,9,who are you trying to reach,other
55,my life,9,my life,other
67,more about it all complete yes,9,more about it all complete yes,other
71,it well can you mail me something,9,it well can you mail me something,other
83,it acacia ann,9,it acacia ann,other
93,come what,9,come what,other
111,would you like to be he lies in that then would you like that is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or creation man pathetically designed for the people on fixed income on the same thank you phil i ll send sam would you like to learn more about it would you like to learn more about it i ll tell you more about what you tell,9,would you like to be he lies in that then would you like that is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or creation man pathetically designed for the people on fixed income on the same thank you phil i ll send sam would you like to learn more about it would you like to learn more about it i ll tell you more about what you tell,other
115,it no but,9,it no but,other
122,it i don t apply for senior citizens anything right now because i m only twenty twenty six years old,9,it i don t apply for senior citizens anything right now because i m only twenty twenty six years old,other
123,it i don t believe i would but thank you for calling a ba,9,it i don t believe i would but thank you for calling a ba,other
130,would a senior citizens care this,9,would a senior citizens care this,other
154,thank you good day great this call is about a new elevating event an assurance we finish a record under a hanging of your warriors one more of cremation expensive it is it is specifically designed for the people on fixed income or social security would you like to learn more about it if you re satisfied with the message press one to listen to your message press two to erase and re record press three to continue recording recording where you left off press four,9,thank you good day great this call is about a new elevating event an assurance we finish a record under a hanging of your warriors one more of cremation expensive it is it is specifically designed for the people on fixed income or social security would you like to learn more about it if you re satisfied with the message press one to listen to your message press two to erase and re record press three to continue recording recording where you left off press four,other
160,it maybe you can send us something mail to us,9,it maybe you can send us something mail to us,other
174,no not really i,9,no not really i,other
188,it was a bat they call it on a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically a gag would you like to learn more about it sure,9,it was a bat they call it on a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically a gag would you like to learn more about it sure,other
189,it says university of finley but you re from american senior citizens care,9,it says university of finley but you re from american senior citizens care,other
198,only ten this,9,only ten this,other
210,how many can we i,9,how many can we i,other
212,ttodaythis,9,ttodaythis,other
231,you re not listening to me is this going to cost me anything,9,you re not listening to me is this going to cost me anything,other
234,i mean you see everybody hangs up when i tell em that,9,i mean you see everybody hangs up when i tell em that,other
238,one,9,one,other
254,it you to qualify you for the plan are you,9,it you to qualify you for the plan are you,other
256,it hullo,9,it hullo,other
263,come go on this,9,come go on this,other
265,this is mars resident who would you like to speak with,9,this is mars resident who would you like to speak with,other
268,you put you on to speak to please who do you want to talk to,9,you put you on to speak to please who do you want to talk to,other
276,good sam a quick to say all is about about a new state regulated final expenses,9,good sam a quick to say all is about about a new state regulated final expenses,other
299,win,9,win,other
307,did you want it,9,did you want it,other
309,i m not going to die,9,i m not going to die,other
310,it hullo i,9,it hullo i,other
318,thank you,9,thank you,other
358,what should i have to it i,9,what should i have to it i,other
385,i m just trying to hang in there,9,i m just trying to hang in there,other
386,it can you get me to a finish in through the mail i i sure would appreciate you thank ye,9,it can you get me to a finish in through the mail i i sure would appreciate you thank ye,other
392,it b,9,it b,other
398,i m twelve years old this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or female exceed it would you like to learn more about it i m twelve years old,9,i m twelve years old this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or female exceed it would you like to learn more about it i m twelve years old,other
406,what could i do for you well get,9,what could i do for you well get,other
408,i m old this,9,i m old this,other
414,afternoon well spargo bank,9,afternoon well spargo bank,other
417,it not on our forty eight i,9,it not on our forty eight i,other
432,it clo,9,it clo,other
433,just as the bar heated final expense insurance plan which covers a hundred perce percent of your burial funeral or cremation expenses would you like to learn more about it no i am a veteran i have coverage i,9,just as the bar heated final expense insurance plan which covers a hundred perce percent of your burial funeral or cremation expenses would you like to learn more about it no i am a veteran i have coverage i,other
437,what are you selling i,9,what are you selling i,other
449,what can i do for you,9,what can i do for you,other
453,amy this call,9,amy this call,other
461,it all no no no,9,it all no no no,other
480,twenty two years old davy then on the new year s orated final expense insurance plan which covers a hundred percent of your burial funeral or cremation i don t want it i don t want her would you like to learn more about it no i completely understand that but these new fordable plans have just been i don t want it,9,twenty two years old davy then on the new year s orated final expense insurance plan which covers a hundred percent of your burial funeral or cremation i don t want it i don t want her would you like to learn more about it no i completely understand that but these new fordable plans have just been i don t want it,other
482,what like i,9,what like i,other
491,it yes i can be and,9,it yes i can be and,other
493,it a good thinking to qualify you,9,it a good thinking to qualify you,other
497,magically for such a thing that s up,9,magically for such a thing that s up,other
500,it well it s hard to say because i m not sure i need it or will qualify for it what do you think,9,it well it s hard to say because i m not sure i need it or will qualify for it what do you think,other
501,this is home it follows that a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on leon fixed income or social security would you like to learn more about it no thank you i completely,9,this is home it follows that a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on leon fixed income or social security would you like to learn more about it no thank you i completely,other
508,it sure we ll commit suicide totodaynd you can pay him off,9,it sure we ll commit suicide totodaynd you can pay him off,other
527,at night there with,9,at night there with,other
528,it can you send me some there through the mayor if you can work please do that,9,it can you send me some there through the mayor if you can work please do that,other
553,it i m fifteen years old i think i got a while,9,it i m fifteen years old i think i got a while,other
558,most ways,9,most ways,other
580,i was due tokate i got your call this call,9,i was due tokate i got your call this call,other
587,it hullo i can t hear you would you like to learn more about it hullo i can t hear you you brace up,9,it hullo i can t hear you would you like to learn more about it hullo i can t hear you you brace up,other
588,ah not thus,9,ah not thus,other
593,why don t you send me that check for thirty thousand dollars cause i,9,why don t you send me that check for thirty thousand dollars cause i,other
596,it are you in the sixpence somebody,9,it are you in the sixpence somebody,other
597,ok this was another about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expense expenses it is would you like to learn more about it,9,ok this was another about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expense expenses it is would you like to learn more about it,other
627,i m a hundred and four power,9,i m a hundred and four power,other
638,it i m twenty one years old to qualify,9,it i m twenty one years old to qualify,other
643,howard parma,9,howard parma,other
692,amy,9,amy,other
706,it hello,9,it hello,other
707,a lady how do you know can it regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the for the people on fixed income or social security would you have a lot more about it i m not obscurity a complete idea matt i ve applied for but i ain t got,9,a lady how do you know can it regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the for the people on fixed income or social security would you have a lot more about it i m not obscurity a complete idea matt i ve applied for but i ain t got,other
717,was,9,was,other
722,really,9,really,other
725,operator,9,operator,other
732,you want it,9,you want it,other
734,would they let me say that again please when they let me,9,would they let me say that again please when they let me,other
741,it is my name,9,it is my name,other
756,our time,9,our time,other
757,somebody,9,somebody,other
761,what what what i ll do i,9,what what what i ll do i,other
764,of me,9,of me,other
766,no would you like to learn more about it you give blow job,9,no would you like to learn more about it you give blow job,other
769,it and then the badger game i,9,it and then the badger game i,other
793,it as mark,9,it as mark,other
801,a cove,9,a cove,other
806,senor what do you want ma am i,9,senor what do you want ma am i,other
808,was done fine till you called,9,was done fine till you called,other
818,what designs,9,what designs,other
823,young,9,young,other
836,give an estimate what s your address,9,give an estimate what s your address,other
848,hello amy,9,hello amy,other
864,i m alive,9,i m alive,other
872,it i don t know i,9,it i don t know i,other
878,fine,9,fine,other
891,it but do you know anything that i don t know that you want to get me a bally old thing as i haven t got any information on him ha,9,it but do you know anything that i don t know that you want to get me a bally old thing as i haven t got any information on him ha,other
893,it keno,9,it keno,other
903,wi me i ask you to waggle up in my fate what a god on a new state regulated final expansion order one by no state be your fare or done by notation expenses it is specifically designed you now you people whose income or social security would you like to learn more about it,9,wi me i ask you to waggle up in my fate what a god on a new state regulated final expansion order one by no state be your fare or done by notation expenses it is specifically designed you now you people whose income or social security would you like to learn more about it,other
907,beg you,9,beg you,other
918,or am i speaking with say that again please who am i speaking,9,or am i speaking with say that again please who am i speaking,other
927,you any insurance this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically to be had lee we have that already taken care of i m in a grocery store and i don t know how you even got this number to call so take it off it off the list you understand,9,you any insurance this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically to be had lee we have that already taken care of i m in a grocery store and i don t know how you even got this number to call so take it off it off the list you understand,other
942,it,9,it,other
947,is about this call is about that regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the for the people i go there i thank you though oh,9,is about this call is about that regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the for the people i go there i thank you though oh,other
948,it make mamma to qualify,9,it make mamma to qualify,other
953,take at the tall rate tears on a new state regulated for final event for durant land would cover a hundred percent of your burial of funeral or cremation expenses it is specifically finally designed for the people on fixed income or social security would you like to learn more about it if you are satisfied with your message press one to listen to your message press two to be ready to,9,take at the tall rate tears on a new state regulated for final event for durant land would cover a hundred percent of your burial of funeral or cremation expenses it is specifically finally designed for the people on fixed income or social security would you like to learn more about it if you are satisfied with your message press one to listen to your message press two to be ready to,other
955,seven seeming success,9,seven seeming success,other
961,it the life insurance i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our products specialised give you more information,9,it the life insurance i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our products specialised give you more information,other
962,do myself this call,9,do myself this call,other
964,it degas sombre there speak arabic,9,it degas sombre there speak arabic,other
967,you could save eagle transmission hello this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses,9,you could save eagle transmission hello this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses,other
994,here,9,here,other
997,at the trot take a go ahead then call it about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation nation expenses it is pity thirties of age would you like to learn more about it no i come into this world bear a drop why do i want a paper anything nose,9,at the trot take a go ahead then call it about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation nation expenses it is pity thirties of age would you like to learn more about it no i come into this world bear a drop why do i want a paper anything nose,other
998,a man drops this,9,a man drops this,other
1000,it boy,9,it boy,other
1005,you see it there hello,9,you see it there hello,other
1044,gravy,9,gravy,other
1049,a real birth this,9,a real birth this,other
1053,i can t understand you talk up,9,i can t understand you talk up,other
1059,not that you go about for a day,9,not that you go about for a day,other
1066,new york this call,9,new york this call,other
1069,it what company is it what company is it,9,it what company is it what company is it,other
1072,we are,9,we are,other
1113,i don t know what you think,9,i don t know what you think,other
1122,it aha,9,it aha,other
1130,alice,9,alice,other
1134,do you want i,9,do you want i,other
1152,it no,9,it no,other
1157,see a tea here there,9,see a tea here there,other
1161,her,9,her,other
1167,amy what do you need in it,9,amy what do you need in it,other
1170,it are you threatening,9,it are you threatening,other
1175,it now twenty two years old i,9,it now twenty two years old i,other
1177,brad,9,brad,other
1178,it tis come lighter when you haul her to it she can tell us,9,it tis come lighter when you haul her to it she can tell us,other
1200,unquestionable,9,unquestionable,other
1206,what s that,9,what s that,other
1214,it will be created,9,it will be created,other
1217,it is that the kind you ve got,9,it is that the kind you ve got,other
1221,arnaud god s,9,arnaud god s,other
1224,amy amy amy,9,amy amy amy,other
1231,it o i,9,it o i,other
1234,it well actually i know plenty about it cause i m richer investment adviser and a sort of financial planner so,9,it well actually i know plenty about it cause i m richer investment adviser and a sort of financial planner so,other
1237,more about it amy are you there what talk you amy,9,more about it amy are you there what talk you amy,other
