audio_tag,actual_english,class,cleaned_text,class_labels
15,not good not feeling good,12,not good not feeling good,sorry_greeting
15,not that great,12,not that great,sorry_greeting
16,good and how are you doing,6,good and how are you doing,greetback
9,not english,13,not english,spanish
8,okay i don t need anything though,9,okay i don t need anything though,not_intrested
6,i m doing fit amy,7,i m doing fit amy,greetings
15,i no good,12,i no good,sorry_greeting
10,yes i can hear you,10,yes i can hear you,other
10,honey you got rational yesterday mumbling,10,honey you got rational yesterday mumbling,other
2,yeah i am doing fine i am not old enough to get medicares,8,yeah i am doing fine i am not old enough to get medicares,negative
5,i m too young for this please stop calling me,4,i m too young for this please stop calling me,dnc
5,hello take me off your call list ,4,hello take me off your call list ,dnc
16,i m fine how about you,6,i m fine how about you,greetback
16,i m doing fine what s up ,6,i m doing fine what s up ,greetback
10,our apartment,10,our apartment,other
6,hello this is ross,7,hello this is ross,greetings
6,i m good who do you want to speak to,7,i m good who do you want to speak to,greetings
16,i m okay how are you,6,i m okay how are you,greetback
10,amy amy you re full of it amy,10,amy amy you re full of it amy,other
1,i am i live by myself and i,11,i am i live by myself and i,positive
1,yeah yeah yeah i can i can,11,yeah yeah yeah i can i can,positive
5,i don t care at all what you got to say please don t say again,4,i don t care at all what you got to say please don t say again,dnc
8,hello you ve already called me today i m not interested ,9,hello you ve already called me today i m not interested ,not_intrested
6,all fine,7,all fine,greetings
6,well i ve got somebody here working on the tv so i guess we re okay,7,well i ve got somebody here working on the tv so i guess we re okay,greetings
16,i m alright and you,6,i m alright and you,greetback
6,good thank you,7,good thank you,greetings
16,fine what s up amy,6,fine what s up amy,greetback
15,not well ,12,not well ,sorry_greeting
16,alright how you doing,6,alright how you doing,greetback
6,alright yeah,7,alright yeah,greetings
6,i m doing pretty good but i can hardly hear you,7,i m doing pretty good but i can hardly hear you,greetings
6,i m fine ,7,i m fine ,greetings
16,no good how are you doing,6,no good how are you doing,greetback
5,i am doing thank you for asking but you know what you re the third person calling thank you so much i ve been so kind you have a present day goodbye,4,i am doing thank you for asking but you know what you re the third person calling thank you so much i ve been so kind you have a present day goodbye,dnc
6,i m just fine thank you,7,i m just fine thank you,greetings
10,who is this,10,who is this,other
6,i guess i m doing alright,7,i guess i m doing alright,greetings
10,i m doing,10,i m doing,other
13,my son he s the doctor so he know mumbling take care of it,0,my son he s the doctor so he know mumbling take care of it,already_insured
6,im doing fine,7,im doing fine,greetings
8,i m fine thank you but i m not interested,9,i m fine thank you but i m not interested,not_intrested
5,oh my god stop calling this number,4,oh my god stop calling this number,dnc
6,i m fine pleasure,7,i m fine pleasure,greetings
4,i have to take a call from my doctor amy,3,i have to take a call from my doctor amy,busy
6,alright,7,alright,greetings
2,i m fine but i dont need anything,8,i m fine but i dont need anything,negative
16,i am doing good how are you,6,i am doing good how are you,greetback
10,mumble,10,mumble,other
4,i am getting ready for my meeting what can i help you with,3,i am getting ready for my meeting what can i help you with,busy
5,i had about four of these calls today and i m getting sick of it i dont need that  i got a doctor dont need to go through anything else,4,i had about four of these calls today and i m getting sick of it i dont need that  i got a doctor dont need to go through anything else,dnc
10,i m here dying,10,i m here dying,other
15,well i am sick what is your problem,12,well i am sick what is your problem,sorry_greeting
6,i m doing good i m better than ,7,i m doing good i m better than ,greetings
5,i am looking for a lover,4,i am looking for a lover,dnc
8,thank you very much amy i am not interested in any features funeral or,9,thank you very much amy i am not interested in any features funeral or,not_intrested
15,oh bad bad bad and you,12,oh bad bad bad and you,sorry_greeting
6,well i m still alright i m ninety eight,7,well i m still alright i m ninety eight,greetings
15,i m so tired y all calling me,12,i m so tired y all calling me,sorry_greeting
6,hi amy with american senior citizen care i m doing fine,7,hi amy with american senior citizen care i m doing fine,greetings
5,please take my number off your list i m not a senior citizen yet,4,please take my number off your list i m not a senior citizen yet,dnc
16,i m just great how re you doing,6,i m just great how re you doing,greetback
6,almost perfect,7,almost perfect,greetings
5,just fine until you called,4,just fine until you called,dnc
6,have a good day,7,have a good day,greetings
5,hell  what is this,4,hell  what is this,dnc
1,good yes yes yes okay ,11,good yes yes yes okay ,positive
15,not too well what can i do for you,12,not too well what can i do for you,sorry_greeting
15,well i m a senior citizen and i m not doing that great,12,well i m a senior citizen and i m not doing that great,sorry_greeting
5,go away,4,go away,dnc
5,well same as the last time you called,4,well same as the last time you called,dnc
6,well i m doing okay what can i do for you,7,well i m doing okay what can i do for you,greetings
6,no i m doing okay,7,no i m doing okay,greetings
8,hang up,9,hang up,not_intrested
16,i m doing well thank you and yourself,6,i m doing well thank you and yourself,greetback
6,i m doing great,7,i m doing great,greetings
5,amy you called me several times i m too old for you,4,amy you called me several times i m too old for you,dnc
8,i m doing alright but i m not buying anything you re selling,9,i m doing alright but i m not buying anything you re selling,not_intrested
15,they are burried,12,they are burried,sorry_greeting
15,not good,12,not good,sorry_greeting
5,no calling please,4,no calling please,dnc
6,i m fine don t call,7,i m fine don t call,greetings
1,hello yeah yeah ,11,hello yeah yeah ,positive
6,good,7,good,greetings
10,what do you want ,10,what do you want ,other
6,i m doing good ,7,i m doing good ,greetings
10,this call,10,this call,other
13,i m fine mam i get a lot of these calls and i m military so i dont need the medicare services,0,i m fine mam i get a lot of these calls and i m military so i dont need the medicare services,already_insured
6,doing well,7,doing well,greetings
15,not to good anny,12,not to good anny,sorry_greeting
5,u know anny i m sick u calling me every day good bye,4,u know anny i m sick u calling me every day good bye,dnc
16,doing fine what about you,6,doing fine what about you,greetback
5,don t call me please,4,don t call me please,dnc
6,good okay,7,good okay,greetings
6,hi i m alright,7,hi i m alright,greetings
16,fine what about you,6,fine what about you,greetback
4,pretty busy,3,pretty busy,busy
8,oh i dont need anything mam okay have a blessed day,9,oh i dont need anything mam okay have a blessed day,not_intrested
6,well i guess alright,7,well i guess alright,greetings
16,i m good amy how you doing today,6,i m good amy how you doing today,greetback
6,i feel good ,7,i feel good ,greetings
6,oh i was doing fine,7,oh i was doing fine,greetings
15,thank you for calling not well,12,thank you for calling not well,sorry_greeting
6,a bit fine,7,a bit fine,greetings
6,uh okay ,7,uh okay ,greetings
10,oh spam risk,10,oh spam risk,other
5,i m good i think i talked to you in the morning,4,i m good i think i talked to you in the morning,dnc
16,oh i m so good amy how is your life going,6,oh i m so good amy how is your life going,greetback
5,hey you called me yesterday i m not interested,4,hey you called me yesterday i m not interested,dnc
10,okay but he s not here right now,10,okay but he s not here right now,other
15,terrible  mumbling,12,terrible  mumbling,sorry_greeting
4,well i m busy,3,well i m busy,busy
16,fine how about you,6,fine how about you,greetback
8,i don t need any citizen care,9,i don t need any citizen care,not_intrested
