,step,train_acc,valid_acc,train_f1,valid_f1,train_loss,valid_losss
0,142,0.45673078298568726,0.5794066190719604,0.45673078298568726,0.5794066190719604,0.45673078298568726,0.5794066190719604
1,285,0.5961538553237915,0.6230366230010986,0.5961538553237915,0.6230366230010986,0.5961538553237915,0.6230366230010986
2,428,0.6402971744537354,0.6300174593925476,0.6402971744537354,0.6300174593925476,0.6402971744537354,0.6300174593925476
3,571,0.6691433787345886,0.650959849357605,0.6691433787345886,0.650959849357605,0.6691433787345886,0.650959849357605
4,714,0.6966783404350281,0.6631762385368347,0.6966783404350281,0.6631762385368347,0.6966783404350281,0.6631762385368347
5,857,0.7111014127731323,0.6649214625358582,0.7111014723777771,0.6649214625358582,0.7111014723777771,0.6649214625358582
6,1000,0.7194055914878845,0.6893543004989624,0.7194055914878845,0.6893543004989624,0.7194055914878845,0.6893543004989624
7,1143,0.7355769276618958,0.6736474633216858,0.7355769872665405,0.6736474633216858,0.7355769872665405,0.6736474633216858
8,1286,0.7399475574493408,0.6788830757141113,0.7399475574493408,0.6788830757141113,0.7399475574493408,0.6788830757141113
9,1429,0.7613636255264282,0.6736474633216858,0.7613635659217834,0.6736474633216858,0.7613635659217834,0.6736474633216858
10,1572,0.7604895234107971,0.6736474633216858,0.7604894638061523,0.6736474633216858,0.7604894638061523,0.6736474633216858
11,1715,0.7766608595848083,0.6823734641075134,0.7766608595848083,0.6823734641075134,0.7766608595848083,0.6823734641075134
12,1858,0.7836538553237915,0.6771378517150879,0.7836539149284363,0.6771378517150879,0.7836539149284363,0.6771378517150879
13,2001,0.7875874042510986,0.687609076499939,0.7875874042510986,0.687609076499939,0.7875874042510986,0.687609076499939
